13.9 14 15 16
13.902 13 17 16
13.904 11 18 12
13.906 3 16 8
13.908 0 14 6
13.91 -2 10 3
13.912 -4 8 0
13.914 -4 4 -2
13.916 -4 0 -6
13.918 -5 -4 -8
13.92 -6 -9 -9
13.922 -7 -11 -7
13.924 -9 -11 -4
13.926 -12 -9 -3
13.928 -13 -4 -3
13.93 -14 0 -2
13.932 -13 2 -2
13.934 -7 4 -2
13.936 0 2 0
13.938 8 2 1
13.94 15 -1 2
13.942 20 1 7
13.944 21 3 8
13.946 19 5 12
13.948 15 8 13
13.95 13 11 12
13.952 10 10 14
13.954 9 8 14
13.956 7 5 13
13.958 5 2 11
13.96 3 -2 5
13.962 3 -6 2
13.964 4 -8 1
13.966 2 -12 0
13.968 -2 -10 -1
13.97 -8 -8 -2
13.972 -11 -4 -1
13.974 -12 -2 -2
13.976 -10 1 -5
13.978 -6 5 -8
13.98 -1 6 -8
13.982 3 7 -5
13.984 6 9 1
13.986 10 10 9
13.988 15 14 16
13.99 18 19 22
13.992 22 22 22
13.994 23 23 20
13.996 18 20 15
13.998 14 16 10
14 10 12 7
14.002 7 6 3
14.004 5 4 0
14.006 0 1 0
14.008 -5 -4 0
14.01 -8 -8 -1
14.012 -11 -12 -2
14.014 -11 -16 -4
14.016 -12 -15 -8
14.018 -11 -14 -14
14.02 -9 -12 -18
14.022 -7 -7 -18
14.024 -6 -6 -17
14.026 -5 -6 -11
14.028 -7 -7 -3
14.03 -5 -9 3
14.032 -4 -11 5
14.034 1 -12 6
14.036 4 -15 7
14.038 8 -15 6
14.04 9 -17 4
14.042 7 -16 3
14.044 1 -13 2
14.046 -8 -10 -3
14.048 -16 -7 -6
14.05 -22 -6 -11
14.052 -24 -7 -14
14.054 -24 -12 -16
14.056 -24 -13 -15
14.058 -23 -15 -14
14.06 -24 -17 -13
14.062 -25 -14 -13
14.064 -24 -9 -15
14.066 -20 -4 -16
14.068 -16 1 -17
14.07 -10 3 -14
14.072 -2 7 -9
14.074 4 9 -2
14.076 11 11 3
14.078 12 13 8
14.08 13 16 14
