AngularFrequency	StorageModulus	LossModulus
62.83	1.073E+3	2.832E+2
53.89	1.048E+3	2.742E+2
46.22	1.023E+3	2.654E+2
39.64	9.987E+2	2.569E+2
34	9.751E+2	2.488E+2
29.16	9.523E+2	2.414E+2
25.01	9.305E+2	2.34E+2
21.45	9.09E+2	2.272E+2
18.4	8.88E+2	2.204E+2
15.78	8.677E+2	2.139E+2
13.54	8.478E+2	2.078E+2
11.61	8.287E+2	2.022E+2
9.958	8.101E+2	1.962E+2
8.541	7.919E+2	1.91E+2
7.326	7.738E+2	1.86E+2
6.283	7.569E+2	1.806E+2
5.389	7.401E+2	1.76E+2
4.622	7.24E+2	1.714E+2
3.964	7.082E+2	1.671E+2
3.4	6.931E+2	1.629E+2
2.916	6.778E+2	1.59E+2
2.501	6.636E+2	1.548E+2
2.145	6.496E+2	1.515E+2
1.84	6.358E+2	1.48E+2
1.578	6.216E+2	1.451E+2
1.354	6.097E+2	1.409E+2
1.161	5.958E+2	1.375E+2
0.9958	5.838E+2	1.366E+2
0.8541	5.699E+2	1.315E+2
0.7326	5.584E+2	1.298E+2
0.6283	5.487E+2	1.283E+2
0.5389	5.382E+2	1.248E+2
0.4622	5.259E+2	1.219E+2
0.3964	5.16E+2	1.18E+2
0.34	5.022E+2	1.141E+2
0.2916	4.952E+2	1.145E+2
0.2501	4.851E+2	1.079E+2
0.2145	4.795E+2	1.073E+2
0.184	4.682E+2	1.099E+2
0.1578	4.589E+2	1.013E+2
0.1354	4.465E+2	1.066E+2
0.1161	4.434E+2	9.99E+1
0.09958	4.3E+2	9.708E+1
0.08541	4.247E+2	1.008E+2
0.07326	4.242E+2	9.714E+1
0.06283	4.16E+2	8.777E+1
