30	240	116154
30	510	182540
30	390	80000
40	257	42941
40	445	36713
40	432	41000
40	266	44920
50	266	27264
50	570	26038
50	232	19000
60	315	18194
75	320	9398
75	302	14158
75	418	10038
75	170	8634
75	451	14000
80	313	8037
100	460	8350
100	266	7828
100	413	34091
100	495	6778
100	496	9900
100	295	4970
120	288	3469
150	385	3760
150	264	1317
150	383	3700
200	479	3029
200	280	2346
200	404	1149
200	560	1530
200	450	2600
250	389	994
300	309	833
300	443	762
300	631	440
300	470	348
300	434	278
300	500	220
300	510	300
300	469	763
400	490	52
400	455	262
500	204	13.2
500	352	32.6
500	301	9.1
500	153	3.2
500	530	102
500	484	80.5
500	352	76.2
500	493	92
500	456	53.8
500	479	123.4
500	510	22
500	482	77
500	326	10.1
600	540	14.5
600	670	23.3
600	453	21
650	492	25.6
650	218	5.5
650	460	13.5
650	432	10.75
700	457	16.8

