Time	Strain	Shear Stress
[s]	[1]	[Pa]
89450.12	0.2073582	0.0000000000000000000000007965861
89450.22	0.1988053	0
89450.31	0.1941696	0
89450.42	0.190808	0
89450.51	0.1881765	0
89450.62	0.1859858	0
89450.73	0.1841209	0
89450.82	0.1824953	0
89450.92	0.1810377	0
89451.02	0.1797124	0
89451.13	0.1784962	0
89451.22	0.1773802	0
89451.33	0.1763462	0
89451.42	0.1753902	0
89451.52	0.1744871	0
89451.62	0.1736301	0
89451.73	0.1728131	0
89451.82	0.1720353	0
89451.92	0.1712908	0
89452.02	0.1705804	0
89452.13	0.1699034	0
89452.22	0.1692546	0
89452.31	0.168631	0
89452.42	0.1680294	0
89452.51	0.1674467	0
89452.62	0.1668854	0
89452.72	0.1663371	0
89452.82	0.1658071	0
89452.91	0.1652879	0
89453.02	0.1647859	0
89453.12	0.1642959	0
89453.22	0.1638174	0
89453.31	0.1633556	0
89453.42	0.1629047	0
89453.51	0.1624659	0
89453.62	0.1620379	0
89453.72	0.1616214	0
89453.82	0.1612152	0
89453.91	0.1608166	0
89454.02	0.1604274	0
89454.12	0.1600447	0
89454.22	0.1596689	0
89454.31	0.1593025	0
89454.42	0.1589441	0
89454.51	0.15859	0
89454.62	0.1582413	0
89454.72	0.1579002	0
89454.82	0.1575647	0
89454.91	0.1572333	0
89455.02	0.1569068	0
89455.12	0.1565877	0
89455.22	0.1562726	0
89455.31	0.1559623	0
89455.42	0.1556638	0
89455.51	0.1553653	0
89455.62	0.1550743	0
89455.72	0.1547859	0
89455.82	0.1545044	0
89455.91	0.1542245	0
89456.02	0.1539515	0
89456.12	0.1536816	0
89456.22	0.1534154	0
89456.31	0.1531566	0
89456.42	0.1528997	0
89456.51	0.1526432	0
89456.62	0.1523912	0
89456.72	0.1521435	0
89456.82	0.1518979	0
89456.91	0.1516525	0
89457.02	0.1514114	0
89457.12	0.1511694	0
89457.22	0.1509342	0
89457.31	0.150702	0
89457.42	0.1504726	0
89457.51	0.1502433	0
89457.62	0.1500176	0
89457.72	0.1497965	0
89457.82	0.1495768	0
89457.91	0.1493578	0
89458.02	0.1491412	0
89458.12	0.1489271	0
89458.22	0.1487201	0
89458.31	0.1485094	0
89458.42	0.1483048	0
89458.51	0.1481002	0
89458.62	0.1479005	0
89458.72	0.1476993	0
89458.82	0.1475063	0
89458.91	0.1473103	0
89459.02	0.1471165	0
89459.12	0.1469244	0
89459.22	0.1467332	0
89459.31	0.1465458	0
89459.42	0.1463598	0
89459.51	0.146176	0
89459.62	0.1459957	0
89459.73	0.1458167	0
89459.82	0.1456367	0
89459.92	0.1454548	0
89460.02	0.1452793	0
89460.13	0.1451043	0
89460.22	0.1449307	0
89460.33	0.1447546	0
89460.42	0.144583	0
89460.52	0.1444133	0
89460.62	0.1442427	0
89460.73	0.1440731	0
89460.82	0.1439079	0
89460.92	0.1437428	0
89461.02	0.1435761	0
89461.13	0.1434115	0
89461.22	0.1432478	0
89461.33	0.1430861	0
89461.42	0.1429258	0
89461.52	0.1427651	0
89461.62	0.1426103	0
89461.73	0.1424532	0
89461.82	0.1422958	0
89461.92	0.1421373	0
89462.02	0.1419813	0
89462.13	0.1418281	0
89462.22	0.1416781	0
89462.33	0.1415283	0
89462.42	0.141378	0
89462.52	0.141231	0
89462.62	0.1410825	0
89462.73	0.1409354	0
89462.82	0.1407899	0
89462.92	0.1406435	0
89463.02	0.1404997	0
89463.13	0.1403547	0
89463.22	0.1402181	0
89463.33	0.1400762	0
89463.42	0.1399364	0
89463.52	0.1397956	0
89463.62	0.1396588	0
89463.73	0.1395222	0
89463.82	0.1393856	0
89463.92	0.1392509	0
89464.02	0.1391171	0
89464.13	0.1389827	0
89464.22	0.1388496	0
89464.33	0.1387144	0
89464.42	0.1385822	0
89464.52	0.138451	0
89464.62	0.1383218	0
89464.73	0.1381917	0
89464.82	0.1380623	0
89464.92	0.1379339	0
89465.02	0.1378058	0
89465.13	0.1376804	0
89465.22	0.1375527	0
89465.33	0.1374274	0
89465.42	0.137298	0
89465.52	0.1371755	0
89465.62	0.1370508	0
89465.73	0.1369248	0
89465.82	0.1368029	0
89465.92	0.1366804	0
89466.02	0.1365597	0
89466.13	0.1364362	0
89466.22	0.1363152	0
89466.33	0.1361955	0
89466.42	0.1360739	0
89466.52	0.1359536	0
89466.62	0.135835	0
89466.73	0.1357183	0
89466.82	0.135598	0
89466.92	0.1354823	0
89467.02	0.1353664	0
89467.13	0.1352525	0
89467.22	0.1351372	0
89467.33	0.1350187	0
89467.42	0.1349037	0
89467.52	0.1347872	0
89467.62	0.1346756	0
89467.73	0.1345615	0
89467.82	0.1344501	0
