150	28800	782	0.1918	446220  309965
175	28800	792	0.2210	292260  173220
200	58980	789	0.2535	158294  101054
250	28800	788	0.3173	27710   17110
300	68400	880	0.3409	13720   8350
300	28800	880	0.3409	14404   8812
350	61380	780	0.4487	6567    4226
412	61200	825	0.4994	6930    3292
400	50520	780	0.5128	2277    1148
400	69960	737	0.5427	3495    2108
450	28800	775	0.5806	1110    590
550	60000	810	0.6790	578 327
550	48000	785	0.7006	352 219
550	28800	780	0.7051	385 235
757	61200	757	1	192.3   102.5
780	61200	780	1	171 87.25
800	28800	759	1.054	55  32.5
1000	65610	736	1.3587	24.6  13.6
