AngularFrequency	StorageModulus	LossModulus
62.83	2.153E+2	2.817E+1
53.89	2.135E+2	2.749E+1
46.22	2.116E+2	2.685E+1
39.64	2.096E+2	2.625E+1
34	2.075E+2	2.57E+1
29.16	2.054E+2	2.517E+1
25.01	2.032E+2	2.466E+1
21.45	2.01E+2	2.419E+1
18.4	1.989E+2	2.373E+1
15.78	1.967E+2	2.331E+1
13.54	1.946E+2	2.291E+1
11.61	1.925E+2	2.25E+1
9.958	1.904E+2	2.216E+1
8.541	1.883E+2	2.177E+1
7.326	1.863E+2	2.148E+1
6.283	1.843E+2	2.11E+1
5.389	1.823E+2	2.083E+1
4.622	1.803E+2	2.051E+1
3.964	1.784E+2	2.023E+1
3.4	1.765E+2	1.996E+1
2.916	1.746E+2	1.975E+1
2.501	1.728E+2	1.948E+1
2.145	1.709E+2	1.922E+1
1.84	1.692E+2	1.905E+1
1.578	1.674E+2	1.872E+1
1.354	1.656E+2	1.862E+1
1.161	1.64E+2	1.836E+1
0.9958	1.623E+2	1.818E+1
0.8541	1.605E+2	1.803E+1
0.7326	1.59E+2	1.792E+1
0.6283	1.576E+2	1.784E+1
0.5389	1.558E+2	1.77E+1
0.4622	1.541E+2	1.748E+1
0.3964	1.527E+2	1.723E+1
0.34	1.505E+2	1.702E+1
0.2916	1.494E+2	1.704E+1
0.2501	1.477E+2	1.605E+1
0.2145	1.469E+2	1.66E+1
0.184	1.451E+2	1.718E+1
0.1578	1.438E+2	1.602E+1
0.1354	1.419E+2	1.702E+1
0.1161	1.415E+2	1.661E+1
0.09958	1.394E+2	1.62E+1
0.08541	1.383E+2	1.703E+1
0.07326	1.382E+2	1.637E+1
0.06283	1.368E+2	1.469E+1
