Time	Strain	Shear Stress
[s]	[1]	[Pa]
70746.21	0.1785059	100
70746.3	0.1786192	100
70746.41	0.1787317	100
70746.51	0.1788478	100
70746.61	0.1789588	100
70746.71	0.1790671	100
70746.81	0.1791747	100
70746.91	0.1792833	100
70747.01	0.1793925	100
70747.11	0.1794991	100
70747.21	0.1796072	100
70747.3	0.1797173	100
70747.41	0.1798229	100
70747.51	0.1799292	100
70747.61	0.1800348	100
70747.71	0.1801397	100
70747.81	0.180242	100
70747.91	0.1803459	100
70748.01	0.1804457	100
70748.11	0.1805478	100
70748.21	0.1806532	100
70748.3	0.1807598	100
70748.41	0.1808575	100
70748.51	0.1809549	100
70748.61	0.1810548	100
70748.71	0.1811577	100
70748.81	0.1812576	100
70748.91	0.1813561	100
70749.01	0.1814518	100
70749.11	0.1815492	100
70749.21	0.1816505	100
70749.3	0.1817517	100
70749.41	0.1818455	100
70749.51	0.1819372	100
70749.61	0.1820334	100
70749.71	0.1821329	100
70749.81	0.1822315	100
70749.91	0.1823203	100
70750.01	0.1824107	100
70750.11	0.1825018	100
70750.21	0.1826008	100
70750.3	0.1826978	100
70750.41	0.1827865	100
70750.51	0.1828672	100
70750.61	0.1829574	100
70750.71	0.1830559	100
70750.81	0.1831532	100
70750.91	0.1832395	100
70751.01	0.1833225	100
70751.11	0.183411	100
70751.21	0.1835066	100
70751.3	0.1836017	100
70751.41	0.1836873	100
70751.51	0.183765	100
70751.61	0.1838529	100
70751.71	0.1839491	100
70751.81	0.1840442	100
70751.91	0.1841256	100
70752.01	0.1842053	100
70752.11	0.1842889	100
70752.21	0.184382	100
70752.3	0.1844753	100
70752.41	0.1845569	100
70752.51	0.1846311	100
70752.61	0.184713	100
70752.71	0.1848089	100
70752.81	0.1848988	100
70752.91	0.1849782	100
70753.01	0.1850492	100
70753.11	0.1851331	100
70753.21	0.1852231	100
70753.3	0.1853155	100
70753.41	0.1853937	100
70753.51	0.1854656	100
70753.61	0.185544	100
70753.71	0.1856366	100
70753.81	0.185729	100
70753.91	0.1858065	100
70754.01	0.1858745	100
70754.11	0.1859519	100
70754.21	0.1860391	100
70754.3	0.1861298	100
70754.41	0.186209	100
70754.51	0.1862772	100
70754.61	0.1863504	100
70754.71	0.1864375	100
70754.81	0.1865279	100
70754.91	0.1866072	100
70755.01	0.1866733	100
70755.11	0.1867465	100
70755.21	0.1868299	100
70755.3	0.1869213	100
70755.41	0.187004	100
70755.51	0.1870719	100
70755.61	0.1871355	100
70755.71	0.1872103	100
70755.81	0.1873012	100
70755.91	0.1873856	100
70756.01	0.1874522	100
70756.11	0.187518	100
70756.21	0.1875943	100
70756.3	0.1876827	100
70756.41	0.1877667	100
70756.51	0.1878345	100
70756.61	0.1878957	100
70756.71	0.1879672	100
70756.81	0.1880559	100
70756.91	0.1881421	100
70757.01	0.1882104	100
70757.11	0.1882688	100
70757.21	0.1883368	100
70757.3	0.1884166	100
70757.41	0.1885012	100
70757.51	0.1885696	100
70757.61	0.1886258	100
70757.71	0.1886887	100
70757.81	0.1887721	100
70757.91	0.1888564	100
70758.01	0.1889291	100
70758.11	0.1889842	100
70758.21	0.1890452	100
70758.3	0.1891219	100
70758.41	0.1892063	100
70758.51	0.189278	100
70758.61	0.1893346	100
70758.71	0.189391	100
70758.81	0.1894667	100
70758.91	0.1895485	100
70759.01	0.1896223	100
