AngularFrequency	StorageModulus	LossModulus
62.83	3.815E+2	7.528E+1
53.89	3.753E+2	7.316E+1
46.22	3.691E+2	7.114E+1
39.64	3.629E+2	6.926E+1
34	3.568E+2	6.744E+1
29.16	3.508E+2	6.57E+1
25.01	3.449E+2	6.4E+1
21.45	3.391E+2	6.239E+1
18.4	3.333E+2	6.087E+1
15.78	3.278E+2	5.943E+1
13.54	3.222E+2	5.801E+1
11.61	3.169E+2	5.666E+1
9.958	3.116E+2	5.539E+1
8.541	3.064E+2	5.418E+1
7.326	3.013E+2	5.304E+1
6.283	2.964E+2	5.18E+1
5.389	2.916E+2	5.068E+1
4.622	2.867E+2	4.971E+1
3.964	2.822E+2	4.867E+1
3.4	2.776E+2	4.771E+1
2.916	2.732E+2	4.679E+1
2.501	2.689E+2	4.594E+1
2.145	2.648E+2	4.537E+1
1.84	2.605E+2	4.45E+1
1.578	2.563E+2	4.319E+1
1.354	2.524E+2	4.29E+1
1.161	2.484E+2	4.193E+1
0.9958	2.449E+2	4.14E+1
0.8541	2.413E+2	4.079E+1
0.7326	2.378E+2	3.98E+1
0.6283	2.342E+2	3.945E+1
0.5389	2.309E+2	3.92E+1
0.4622	2.269E+2	3.869E+1
0.3964	2.236E+2	3.757E+1
0.34	2.193E+2	3.672E+1
0.2916	2.158E+2	3.668E+1
0.2501	2.135E+2	3.525E+1
0.2145	2.12E+2	3.498E+1
0.184	2.075E+2	3.628E+1
0.1578	2.047E+2	3.373E+1
0.1354	2.012E+2	3.538E+1
0.1161	1.999E+2	3.334E+1
0.09958	1.948E+2	3.232E+1
0.08541	1.923E+2	3.424E+1
0.07326	1.921E+2	3.361E+1
0.06283	1.897E+2	3.082E+1
