AngularFrequency	StorageModulus	LossModulus
62.83	1.298E+2	1.114E+1
53.89	1.294E+2	1.086E+1
46.22	1.289E+2	1.057E+1
39.64	1.283E+2	1.033E+1
34	1.276E+2	1.01E+1
29.16	1.268E+2	9.93E0
25.01	1.261E+2	9.725E0
21.45	1.253E+2	9.584E0
18.4	1.245E+2	9.439E0
15.78	1.237E+2	9.298E0
13.54	1.228E+2	9.172E0
11.61	1.22E+2	9.053E0
9.958	1.212E+2	8.932E0
8.541	1.204E+2	8.883E0
7.326	1.195E+2	8.771E0
6.283	1.187E+2	8.656E0
5.389	1.179E+2	8.589E0
4.622	1.17E+2	8.517E0
3.964	1.162E+2	8.442E0
3.4	1.155E+2	8.408E0
2.916	1.147E+2	8.318E0
2.501	1.139E+2	8.331E0
2.145	1.13E+2	8.279E0
1.84	1.125E+2	8.519E0
1.578	1.116E+2	8.258E0
1.354	1.109E+2	7.992E0
1.161	1.103E+2	8.12E0
0.9958	1.091E+2	8.134E0
0.8541	1.087E+2	8.181E0
0.7326	1.078E+2	8.402E0
0.6283	1.073E+2	8.162E0
0.5389	1.066E+2	8.348E0
0.4622	1.057E+2	7.718E0
0.3964	1.051E+2	8.082E0
0.34	1.038E+2	7.734E0
0.2916	1.032E+2	7.983E0
0.2501	1.028E+2	8.018E0
0.2145	1.026E+2	8.184E0
0.184	1.016E+2	8.437E0
0.1578	1.006E+2	7.569E0
0.1354	9.926E+1	8.259E0
0.1161	9.916E+1	8.379E0
0.09958	9.849E+1	8.281E0
0.08541	9.815E+1	8.558E0
0.07326	9.814E+1	8.051E0
0.06283	9.744E+1	7.243E0
