Time	Strain	Shear Stress
[s]	[1]	[Pa]
79790.12	0.100371	100
79790.21	0.1110584	100
79790.31	0.1166314	100
79790.41	0.1205597	100
79790.51	0.1236378	100
79790.61	0.1261383	100
79790.72	0.1282911	100
79790.81	0.1301197	100
79790.91	0.1317309	100
79791.01	0.1331973	100
79791.12	0.1345171	100
79791.21	0.1357172	100
79791.31	0.1368126	100
79791.41	0.1378617	100
79791.51	0.1388266	100
79791.61	0.1397489	100
79791.72	0.1406278	100
79791.81	0.1414262	100
79791.91	0.1422363	100
79792.01	0.1429582	100
79792.12	0.1436697	100
79792.21	0.1443464	100
79792.31	0.1449692	100
79792.41	0.1456323	100
79792.51	0.1462121	100
79792.61	0.1468111	100
79792.72	0.1473909	100
79792.81	0.1479104	100
79792.91	0.148476	100
79793.01	0.1489686	100
79793.12	0.1494731	100
79793.21	0.1499735	100
79793.31	0.1504153	100
79793.41	0.1509055	100
79793.51	0.1513354	100
79793.61	0.1517704	100
79793.72	0.1522176	100
79793.81	0.1526053	100
79793.91	0.1530436	100
79794.01	0.1534259	100
79794.12	0.1538152	100
79794.21	0.1542173	100
79794.31	0.1545651	100
79794.41	0.1549563	100
79794.51	0.1553067	100
79794.61	0.1556539	100
79794.72	0.1560197	100
79794.81	0.1563348	100
79794.91	0.1566823	100
79795.01	0.157001	100
79795.12	0.157314	100
79795.21	0.1576394	100
79795.31	0.1579282	100
79795.41	0.1582404	100
79795.51	0.1585348	100
79795.61	0.1588182	100
79795.72	0.1591153	100
79795.81	0.1593846	100
79795.91	0.1596698	100
79796.01	0.1599394	100
79796.12	0.1602032	100
79796.21	0.160476	100
79796.31	0.1607337	100
79796.41	0.1609941	100
79796.51	0.1612474	100
79796.61	0.1614933	100
79796.72	0.1617473	100
79796.81	0.1619903	100
79796.91	0.1622301	100
79797.01	0.162468	100
79797.12	0.1627016	100
79797.21	0.1629345	100
79797.31	0.1631642	100
79797.41	0.1633877	100
79797.51	0.1636084	100
79797.61	0.1638321	100
79797.72	0.1640433	100
79797.81	0.164262	100
79797.91	0.1644686	100
79798.01	0.1646757	100
79798.12	0.1648879	100
79798.21	0.1650838	100
79798.31	0.1652928	100
79798.41	0.1654898	100
79798.51	0.1656805	100
79798.61	0.1658849	100
79798.72	0.1660649	100
79798.81	0.1662626	100
79798.91	0.1664477	100
79799.01	0.1666309	100
79799.12	0.1668299	100
79799.21	0.1669988	100
79799.31	0.1671895	100
79799.41	0.1673697	100
79799.51	0.1675377	100
79799.61	0.1677336	100
79799.72	0.1678937	100
79799.81	0.1680785	100
79799.91	0.1682514	100
79800.01	0.1684127	100
79800.12	0.1686021	100
79800.21	0.1687492	100
79800.31	0.1689284	100
79800.41	0.1690955	100
79800.51	0.1692451	100
79800.61	0.1694318	100
79800.72	0.1695714	100
79800.81	0.169744	100
79800.91	0.1699054	100
79801.01	0.1700464	100
79801.12	0.1702265	100
79801.21	0.1703571	100
79801.31	0.1705233	100
79801.41	0.1706775	100
79801.51	0.1708128	100
79801.61	0.1709908	100
79801.72	0.1711155	100
79801.81	0.171277	100
79801.91	0.1714279	100
79802.01	0.1715527	100
79802.12	0.1717244	100
79802.21	0.1718448	100
79802.31	0.1719951	100
79802.41	0.172144	100
79802.51	0.1722632	100
79802.61	0.17243	100
79802.72	0.1725457	100
79802.81	0.1726887	100
79802.91	0.1728356	100
79803.01	0.1729451	100
79803.12	0.1731097	100
79803.21	0.1732198	100
79803.31	0.1733578	100
79803.41	0.1735035	100
79803.51	0.173606	100
79803.61	0.1737688	100
79803.72	0.1738725	100
79803.81	0.1740073	100
79803.91	0.1741485	100
79804.01	0.1742461	100
79804.12	0.1744055	100
79804.21	0.1745071	100
79804.31	0.1746381	100
79804.41	0.1747786	100
79804.51	0.1748754	100
79804.61	0.1750314	100
79804.72	0.1751294	100
79804.81	0.1752575	100
79804.91	0.1753901	100
79805.01	0.1754816	100
79805.12	0.175636	100
79805.21	0.1757305	100
79805.31	0.1758558	100
79805.41	0.1759912	100
79805.51	0.1760781	100
79805.61	0.1762294	100
79805.72	0.176326	100
79805.81	0.1764418	100
79805.91	0.1765771	100
79806.01	0.1766591	100
79806.12	0.1768059	100
79806.21	0.1768994	100
79806.31	0.1770126	100
79806.41	0.1771482	100
79806.51	0.1772276	100
79806.61	0.1773719	100
79806.72	0.1774694	100
79806.81	0.1775705	100
79806.91	0.1777085	100
79807.01	0.177783	100
79807.12	0.1779191	100
79807.21	0.1780169	100
79807.31	0.1781121	100
79807.41	0.1782504	100
79807.51	0.1783225	100
79807.61	0.1784532	100
79807.72	0.1785523	100
79807.81	0.178641	100
79807.91	0.1787743	100
79808.01	0.1788447	100
79808.12	0.1789679	100
79808.21	0.1790704	100
79808.31	0.1791509	100
79808.41	0.1792852	100
79808.51	0.1793539	100
79808.61	0.1794718	100
79808.72	0.1795733	100
79808.81	0.1796512	100
79808.91	0.1797849	100
79809.01	0.1798535	100
79809.12	0.1799675	100
79809.21	0.1800671	100
79809.31	0.1801426	100
79809.41	0.1802728	100
79809.51	0.1803393	100
79809.61	0.1804505	100
79809.72	0.180548	100
79809.81	0.1806226	100
79809.91	0.1807488	100
79810.01	0.1808131	100
79810.12	0.1809242	100
79810.21	0.18102	100
79810.31	0.1810938	100
79810.41	0.1812164	100
79810.51	0.181278	100
79810.61	0.1813898	100
79810.72	0.1814796	100
79810.81	0.1815557	100
79810.91	0.1816755	100
79811.01	0.181737	100
79811.12	0.1818462	100
79811.21	0.1819339	100
79811.31	0.1820079	100
79811.41	0.1821248	100
79811.51	0.1821842	100
79811.61	0.1822975	100
79811.72	0.1823783	100
79811.81	0.1824574	100
79811.91	0.1825693	100
79812.01	0.182627	100
79812.12	0.1827371	100
79812.21	0.1828156	100
79812.31	0.1828939	100
79812.41	0.1830001	100
79812.51	0.1830603	100
79812.61	0.1831676	100
79812.72	0.1832457	100
79812.81	0.183321	100
79812.91	0.1834298	100
79813.01	0.1834849	100
79813.12	0.1835931	100
79813.21	0.1836655	100
79813.31	0.183744	100
79813.41	0.1838458	100
79813.51	0.1839031	100
79813.61	0.1840081	100
79813.72	0.1840809	100
79813.81	0.1841588	100
79813.91	0.1842574	100
79814.01	0.1843131	100
79814.12	0.1844169	100
79814.21	0.1844867	100
79814.31	0.1845611	100
79814.41	0.1846608	100
79814.51	0.1847144	100
79814.61	0.1848135	100
79814.72	0.1848867	100
79814.81	0.1849546	100
79814.91	0.1850528	100
79815.01	0.1851059	100
79815.12	0.185203	100
79815.21	0.1852757	100
79815.31	0.1853431	100
79815.41	0.1854414	100
79815.51	0.1854943	100
79815.61	0.1855853	100
79815.72	0.1856563	100
79815.81	0.1857191	100
79815.91	0.1858139	100
79816.01	0.1858705	100
79816.12	0.185956	100
79816.21	0.1860351	100
79816.31	0.1860959	100
79816.41	0.1861904	100
79816.51	0.1862492	100
79816.61	0.1863318	100
79816.72	0.1864116	100
79816.81	0.1864692	100
79816.91	0.1865626	100
79817.01	0.1866223	100
79817.12	0.1867011	100
79817.21	0.1867786	100
79817.31	0.1868338	100
79817.41	0.1869239	100
79817.51	0.1869834	100
79817.61	0.1870582	100
79817.72	0.1871358	100
79817.81	0.1871914	100
79817.91	0.18728	100
79818.01	0.1873367	100
79818.12	0.1874122	100
79818.21	0.1874862	100
79818.31	0.1875416	100
79818.41	0.1876287	100
79818.51	0.1876857	100
79818.61	0.1877571	100
79818.72	0.1878329	100
79818.81	0.1878872	100
79818.91	0.1879716	100
79819.01	0.1880289	100
79819.12	0.188098	100
79819.21	0.1881712	100
79819.31	0.1882248	100
79819.41	0.1883048	100
79819.51	0.1883627	100
79819.61	0.1884313	100
79819.72	0.1885022	100
79819.81	0.1885563	100
79819.91	0.1886345	100
79820.01	0.188691	100
79820.12	0.1887574	100
79820.21	0.1888281	100
79820.31	0.1888829	100
79820.41	0.1889609	100
79820.51	0.1890193	100
79820.61	0.1890848	100
79820.72	0.1891549	100
79820.81	0.1892095	100
79820.91	0.189283	100
79821.01	0.189342	100
79821.12	0.1894069	100
79821.21	0.1894745	100
79821.31	0.189529	100
79821.41	0.1896027	100
79821.51	0.1896587	100
79821.61	0.1897226	100
79821.72	0.1897888	100
79821.81	0.1898437	100
79821.91	0.1899139	100
79822.01	0.1899715	100
79822.12	0.1900359	100
79822.21	0.1901032	100
79822.31	0.190158	100
79822.41	0.1902276	100
79822.51	0.1902875	100
79822.61	0.1903485	100
79822.72	0.1904145	100
79822.81	0.190472	100
79822.91	0.1905406	100
79823.01	0.1905989	100
79823.12	0.1906599	100
79823.21	0.1907241	100
79823.31	0.1907797	100
79823.41	0.1908452	100
79823.51	0.1909017	100
79823.61	0.1909609	100
79823.72	0.1910242	100
79823.81	0.1910794	100
79823.91	0.1911437	100
79824.01	0.1912017	100
79824.12	0.1912611	100
79824.21	0.1913212	100
79824.31	0.1913768	100
79824.41	0.1914404	100
79824.51	0.191498	100
79824.61	0.1915561	100
79824.72	0.1916162	100
79824.81	0.1916733	100
79824.91	0.1917356	100
79825.01	0.1917927	100
79825.12	0.1918506	100
79825.21	0.1919089	100
79825.31	0.1919662	100
79825.41	0.1920262	100
79825.51	0.1920829	100
79825.61	0.1921408	100
79825.72	0.1921972	100
79825.81	0.1922546	100
79825.91	0.1923124	100
79826.01	0.192368	100
79826.12	0.1924261	100
79826.21	0.1924816	100
79826.31	0.1925392	100
79826.41	0.1925973	100
79826.51	0.1926546	100
79826.61	0.192711	100
79826.72	0.192763	100
79826.81	0.1928216	100
79826.91	0.1928779	100
79827.01	0.1929319	100
79827.12	0.1929882	100
79827.21	0.1930407	100
79827.31	0.1930994	100
79827.41	0.1931515	100
79827.51	0.1932059	100
79827.61	0.1932606	100
79827.72	0.1933134	100
79827.81	0.193371	100
79827.91	0.1934217	100
79828.01	0.1934774	100
79828.12	0.1935328	100
79828.21	0.1935826	100
79828.31	0.1936415	100
79828.41	0.19369	100
79828.51	0.1937452	100
79828.61	0.1938008	100
79828.72	0.1938477	100
79828.81	0.1939089	100
79828.91	0.1939575	100
79829.01	0.1940113	100
79829.12	0.1940666	100
79829.21	0.1941119	100
79829.31	0.1941718	100
79829.41	0.1942178	100
79829.51	0.1942707	100
79829.61	0.194324	100
79829.72	0.1943697	100
79829.81	0.1944309	100
79829.91	0.1944763	100
79830.01	0.1945268	100
79830.12	0.1945826	100
79830.21	0.1946239	100
79830.31	0.1946826	100
79830.41	0.1947297	100
79830.51	0.1947776	100
79830.61	0.1948339	100
79830.72	0.1948768	100
79830.81	0.1949356	100
79830.91	0.1949862	100
79831.01	0.1950315	100
79831.12	0.1950886	100
79831.21	0.1951285	100
79831.31	0.1951889	100
79831.41	0.1952358	100
79831.51	0.1952796	100
79831.61	0.1953374	100
79831.72	0.1953776	100
79831.81	0.1954349	100
79831.91	0.1954818	100
79832.01	0.1955243	100
79832.12	0.1955837	100
79832.21	0.1956211	100
79832.31	0.1956785	100
79832.41	0.1957264	100
79832.51	0.1957679	100
79832.61	0.1958271	100
79832.72	0.1958642	100
79832.81	0.1959165	100
79832.91	0.1959664	100
79833.01	0.1960047	100
79833.12	0.1960669	100
79833.21	0.196105	100
79833.31	0.1961578	100
79833.41	0.1962102	100
79833.51	0.1962463	100
79833.61	0.1963092	100
79833.72	0.1963456	100
79833.81	0.1963983	100
79833.91	0.1964519	100
79834.01	0.1964844	100
79834.12	0.1965462	100
79834.21	0.1965844	100
79834.31	0.1966332	100
79834.41	0.196686	100
79834.51	0.1967195	100
79834.61	0.1967831	100
79834.72	0.1968194	100
79834.81	0.1968681	100
79834.91	0.1969218	100
79835.01	0.1969531	100
79835.12	0.1970157	100
79835.21	0.1970515	100
79835.31	0.1970966	100
79835.41	0.1971523	100
79835.51	0.1971818	100
79835.61	0.1972457	100
79835.72	0.1972816	100
79835.81	0.1973288	100
79835.91	0.1973833	100
79836.01	0.1974121	100
79836.12	0.1974765	100
79836.21	0.197512	100
79836.31	0.1975561	100
79836.41	0.1976147	100
79836.51	0.1976404	100
79836.61	0.1977058	100
79836.72	0.197741	100
79836.81	0.1977864	100
79836.91	0.1978398	100
79837.01	0.1978674	100
79837.12	0.197933	100
79837.21	0.1979664	100
79837.31	0.1980109	100
79837.41	0.1980687	100
79837.51	0.1980915	100
79837.61	0.198157	100
79837.72	0.198192	100
79837.81	0.1982342	100
79837.91	0.1982914	100
79838.01	0.1983169	100
79838.12	0.1983813	100
79838.21	0.1984145	100
79838.31	0.1984563	100
79838.41	0.1985157	100
79838.51	0.1985385	100
79838.61	0.1986018	100
79838.72	0.1986373	100
79838.81	0.1986775	100
79838.91	0.1987372	100
79839.01	0.1987593	100
79839.12	0.1988234	100
79839.21	0.1988585	100
79839.31	0.1988989	100
79839.41	0.1989575	100
79839.51	0.1989791	100
79839.61	0.1990434	100
79839.72	0.1990779	100
79839.81	0.1991157	100
79839.91	0.1991767	100
79840.01	0.1991965	100
79840.12	0.1992592	100
79840.21	0.1992947	100
79840.31	0.1993288	100
79840.41	0.199391	100
79840.51	0.1994103	100
79840.61	0.1994706	100
79840.72	0.1995077	100
79840.81	0.1995406	100
79840.91	0.199603	100
79841.01	0.1996207	100
79841.12	0.1996803	100
79841.21	0.1997204	100
79841.31	0.199749	100
79841.41	0.199813	100
79841.51	0.1998316	100
79841.61	0.1998862	100
79841.72	0.1999298	100
79841.81	0.1999551	100
79841.91	0.2000219	100
79842.01	0.2000395	100
79842.12	0.2000962	100
79842.21	0.2001353	100
79842.31	0.2001615	100
79842.41	0.2002284	100
79842.51	0.2002453	100
79842.61	0.2003	100
79842.72	0.2003442	100
79842.81	0.2003684	100
79842.91	0.2004352	100
79843.01	0.2004549	100
79843.12	0.2005044	100
79843.21	0.2005537	100
79843.31	0.20057	100
79843.41	0.2006378	100
79843.51	0.2006607	100
79843.61	0.2007051	100
79843.72	0.2007587	100
79843.81	0.2007744	100
79843.91	0.2008404	100
79844.01	0.200865	100
79844.12	0.2009041	100
79844.21	0.2009611	100
79844.31	0.200974	100
79844.41	0.2010423	100
79844.51	0.2010684	100
79844.61	0.2011041	100
79844.72	0.2011631	100
79844.81	0.2011745	100
79844.91	0.2012407	100
79845.01	0.2012664	100
79845.12	0.2013014	100
79845.21	0.2013625	100
79845.31	0.2013747	100
79845.41	0.201435	100
79845.51	0.2014677	100
79845.61	0.2014977	100
79845.72	0.2015604	100
79845.81	0.2015714	100
79845.91	0.2016306	100
79846.01	0.2016657	100
79846.12	0.2016908	100
79846.21	0.2017557	100
79846.31	0.2017669	100
79846.41	0.2018251	100
79846.51	0.2018648	100
79846.61	0.2018826	100
79846.72	0.2019507	100
79846.81	0.2019629	100
79846.91	0.2020136	100
79847.01	0.202058	100
79847.12	0.2020753	100
79847.21	0.2021439	100
79847.31	0.2021596	100
79847.41	0.2022074	100
79847.51	0.2022577	100
79847.61	0.2022667	100
79847.72	0.2023353	100
79847.81	0.2023527	100
79847.91	0.2023924	100
79848.01	0.2024471	100
79848.12	0.2024582	100
79848.21	0.2025218	100
79848.31	0.2025445	100
79848.41	0.2025783	100
